               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.049121,            0.060982,                   0,              0.9077,             0.25184,             0.78142,             0.65946,            0.060065,            0.061559,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.046597,            0.060494,                   0,             0.94211,             0.25479,             0.81264,             0.67628,            0.057775,            0.058409,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.047761,            0.065247,                   0,             0.87546,             0.28724,             0.78991,             0.66645,             0.05473,            0.061434,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.047433,             0.05831,                   0,             0.90391,              0.2489,             0.79852,             0.66953,             0.05489,             0.06268,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.047011,            0.059212,                   0,             0.85953,               0.243,             0.76825,             0.65735,            0.054594,            0.059816,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.046198,            0.052964,                   0,             0.81303,             0.28571,              0.7573,             0.65973,            0.057695,            0.065089,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.046436,            0.062326,                   0,             0.84294,             0.26804,             0.76167,             0.66039,            0.053445,            0.061042,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.044774,            0.059717,                   0,             0.85356,             0.27099,             0.77502,             0.66396,            0.053089,            0.063204,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.045691,            0.063539,                   0,             0.86222,             0.26657,             0.77941,             0.66431,            0.054435,            0.062134,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.045453,            0.065314,                   0,              0.8947,             0.30339,             0.80915,             0.67189,            0.054929,            0.062456,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.045158,            0.059139,                   0,             0.91752,             0.25773,             0.78883,             0.66862,            0.055994,            0.061411,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.045708,            0.054289,                   0,              0.8643,             0.25773,             0.77261,             0.66043,            0.055001,             0.06273,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.043335,            0.055274,                   0,             0.89817,             0.25528,             0.78866,              0.6665,            0.058286,            0.062556,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.043522,            0.057533,                   0,             0.86048,             0.24448,             0.75827,             0.65574,            0.059358,            0.062968,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.044219,            0.061566,                   0,             0.87471,             0.27688,             0.77957,             0.66343,             0.05668,            0.063526,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.042848,            0.064107,                   0,             0.89914,             0.32548,             0.81147,             0.67292,            0.051291,            0.060305,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.041598,             0.05388,                   0,              0.8774,             0.22239,             0.74909,             0.65159,            0.052318,            0.060543,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.041463,            0.057992,                   0,             0.86734,             0.23564,              0.7743,             0.65988,             0.05276,             0.06346,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.041806,            0.052305,                   0,             0.91437,             0.25728,             0.78456,             0.66024,             0.05203,            0.062518,                   0,            0.008911,            0.008911,            0.008911
                  57,             0.04199,            0.050723,                   0,             0.90905,              0.2905,             0.78871,             0.66625,            0.051006,            0.062303,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.041277,            0.050883,                   0,             0.87311,             0.30781,              0.7832,             0.66424,             0.05256,            0.064399,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.042948,            0.057523,                   0,             0.86841,             0.19588,             0.73805,             0.65037,            0.061291,            0.068392,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.040133,            0.054134,                   0,             0.82268,             0.23711,             0.72476,              0.6444,            0.059166,            0.066546,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.040097,            0.055578,                   0,              0.8703,             0.26362,             0.76057,             0.65446,            0.056798,            0.064911,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.041603,            0.055036,                   0,             0.86724,              0.2489,             0.76883,             0.65803,            0.055645,            0.063878,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.040652,            0.057496,                   0,             0.86529,             0.25037,             0.77596,             0.66203,            0.056105,            0.065304,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.040942,            0.051621,                   0,             0.91543,             0.23122,              0.7868,              0.6652,            0.053389,            0.066526,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.040292,            0.052677,                   0,             0.84927,             0.27922,             0.78069,             0.66323,            0.054721,            0.063895,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.039818,            0.049971,                   0,             0.89068,             0.29602,             0.78809,             0.66356,            0.054456,            0.065508,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.039236,            0.050384,                   0,             0.86303,             0.23711,             0.76759,             0.65988,            0.054708,            0.065874,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.038766,              0.0499,                   0,             0.85652,              0.2268,             0.76239,             0.65584,            0.054543,            0.066979,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.039976,            0.056275,                   0,             0.87652,             0.25781,             0.76855,             0.65638,            0.057847,            0.065428,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.040212,             0.05057,                   0,             0.91646,               0.243,             0.79258,             0.66486,            0.053267,            0.065388,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.039259,             0.05276,                   0,              0.9386,             0.24742,             0.79318,             0.66163,            0.053005,            0.067373,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.038864,            0.049507,                   0,             0.87558,             0.26362,             0.77088,             0.65643,            0.054515,            0.063735,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.037792,            0.059264,                   0,             0.86761,             0.23564,             0.75277,             0.65194,            0.056167,            0.062682,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.038009,            0.044754,                   0,             0.84682,             0.27993,             0.77569,             0.65682,            0.059067,             0.06453,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,             0.03751,            0.049882,                   0,             0.87794,             0.24448,              0.7649,             0.65462,            0.059698,            0.065781,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.038124,            0.046114,                   0,              0.8945,             0.24448,             0.77915,             0.65834,            0.055589,            0.065173,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.037522,            0.044343,                   0,             0.87351,             0.25727,             0.78289,             0.66079,            0.055267,            0.064651,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.036862,            0.050317,                   0,             0.88244,             0.21797,             0.76865,             0.65747,            0.055258,            0.066586,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.036315,            0.046865,                   0,             0.86552,             0.21208,             0.74704,             0.64916,            0.054789,            0.066628,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.038384,             0.05066,                   0,             0.87883,             0.23564,             0.75904,             0.65451,            0.056918,            0.067504,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,             0.03693,            0.049867,                   0,             0.93436,             0.23564,             0.76981,             0.65801,            0.055754,            0.065972,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.035857,            0.048686,                   0,             0.88941,             0.27951,             0.78769,             0.66645,              0.0528,            0.067168,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.036311,             0.04586,                   0,             0.87684,             0.23417,             0.76496,             0.65945,            0.054059,            0.071075,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.035821,            0.045071,                   0,              0.8493,             0.24448,             0.75132,              0.6545,             0.05472,            0.069938,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.036542,            0.041722,                   0,             0.84876,              0.2175,             0.74516,             0.64761,            0.059357,            0.071216,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.035134,             0.04466,                   0,              0.8758,             0.25331,             0.76534,             0.65866,            0.052365,            0.070379,                   0,            0.008317,            0.008317,            0.008317
