               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.054018,            0.067055,                   0,             0.84514,             0.28719,             0.77868,             0.65875,            0.054142,            0.060694,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.052767,            0.067688,                   0,             0.91824,             0.27393,             0.81874,             0.68032,            0.054605,            0.059077,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.053425,            0.073051,                   0,             0.94626,             0.31959,             0.85323,              0.6882,            0.058194,            0.057889,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.054414,            0.065437,                   0,             0.91734,             0.25468,             0.80735,             0.67299,            0.056932,             0.05701,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.052903,            0.067123,                   0,             0.89388,             0.25037,             0.78906,             0.66372,            0.057959,            0.058271,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,             0.05194,            0.059466,                   0,             0.85832,             0.29455,             0.79734,             0.67225,            0.054923,            0.056652,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.052817,            0.070752,                   0,             0.87288,             0.25756,             0.77083,             0.65861,             0.05855,            0.059574,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.051981,            0.066239,                   0,             0.87221,             0.27246,             0.79367,             0.66904,            0.051859,            0.058278,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,             0.05232,            0.072662,                   0,             0.94349,             0.25037,             0.80816,             0.67628,            0.053217,            0.058759,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.051672,            0.075035,                   0,             0.93556,             0.29602,             0.82254,             0.68089,            0.054376,            0.058525,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.051676,            0.068817,                   0,             0.90251,             0.27099,             0.79697,             0.66969,            0.055909,            0.058784,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,             0.05147,            0.063038,                   0,             0.87651,             0.26657,             0.78468,             0.66122,            0.055917,            0.059721,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.050374,            0.063708,                   0,              0.8715,             0.29602,             0.80461,             0.66788,            0.060674,            0.063664,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.049822,            0.067383,                   0,             0.95226,             0.22386,              0.7876,             0.66241,             0.06108,            0.057154,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.050346,            0.070671,                   0,             0.90571,             0.28571,             0.80361,             0.66978,            0.057111,            0.059202,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.049947,            0.072382,                   0,             0.86674,             0.29013,             0.78877,             0.66326,            0.058454,            0.064847,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.049394,            0.062096,                   0,             0.92314,             0.25184,             0.79285,             0.66412,            0.060706,            0.061923,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.049395,              0.0669,                   0,             0.86766,             0.26804,             0.77259,             0.65973,            0.056867,            0.060554,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.050348,            0.061355,                   0,             0.90863,             0.23602,             0.77919,             0.65895,            0.062594,            0.059081,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.048746,            0.058896,                   0,             0.94792,             0.22091,              0.7785,             0.65766,            0.055762,            0.060268,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.048713,            0.059332,                   0,             0.96094,             0.26951,              0.8102,             0.67217,            0.055178,            0.059639,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.048321,            0.065867,                   0,             0.95816,             0.27246,             0.82575,              0.6784,            0.055515,            0.059957,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.048408,            0.061836,                   0,              0.8854,             0.26657,              0.8029,             0.67018,            0.055007,            0.057452,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.048026,            0.063719,                   0,              0.8952,             0.27099,             0.79167,             0.66803,            0.057834,            0.060083,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.049414,            0.064462,                   0,             0.91425,             0.25773,             0.79328,             0.66544,            0.062109,            0.060858,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,             0.04659,            0.067544,                   0,             0.94413,             0.28746,             0.83459,             0.68483,            0.058465,            0.061198,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.046965,             0.05997,                   0,                   1,             0.27982,             0.84074,             0.68425,            0.058009,             0.06277,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.047281,            0.061942,                   0,             0.97234,             0.28424,             0.84066,             0.68125,            0.055703,            0.065613,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.047311,            0.059317,                   0,             0.90773,             0.26657,             0.80136,             0.66753,            0.056046,            0.065406,                   0,            0.008713,            0.008713,            0.008713
